Nomor,Kecamatan,2021,2022,2023,2024,2025
satuan,-,-,-,-,-,-
tahun,-,2021,2022,2023,2024,2025
,(1),(3),(4),(5),(6),(6)
1,Cipatujah,15,15,15,15,15
2,Karangnunggal,14,14,14,14,14
3,Cikalong,13,13,13,13,13
4,Pancatengah,1,1,1,1,1
5,Cikatomas,9,9,9,9,9
6,Cibalong,6,6,6,6,6
7,Parungponteng,8,8,8,8,8
8,Bantarkalong,8,8,8,8,8
9,Bojongasih,6,6,6,6,6
10,Culamega,5,5,5,5,5
11,Bojonggambir,10,10,10,10,10
12,Sodonghilir,12,12,12,12,12
13,Taraju,9,9,9,9,9
14,Salawu,12,12,12,12,12
15,Puspahiang,8,8,8,8,8
16,Tanjungjaya,7,7,7,7,7
17,Sukaraja,8,8,8,8,8
18,Salopa,9,9,9,9,9
19,Jatiwaras,1,1,1,1,1
20,Cineam,10,10,10,10,10
21,Karangjaya,4,4,4,4,4
22,Manonjaya,12,12,12,12,12
23,Gunungtanjung,7,7,7,7,7
24,Singaparna,10,10,10,10,10
25,Sukarame,6,6,6,6,6
26,Mangunreja,6,6,6,6,6
27,Cigalontang,16,16,16,16,16
28,Leuwisari,7,7,7,7,7
29,Sariwangi,8,8,8,8,8
30,Padakembang,5,5,5,5,5
31,Sukaratu,8,8,8,8,8
32,Cisayong,13,13,13,13,13
33,Sukahening,7,7,7,7,7
34,Rajapolah,8,8,8,8,8
35,Jamanis,8,8,8,8,8
36,Ciawi,1,1,1,1,1
37,Kadipaten,6,6,6,6,6
38,Pagerageung,10,10,10,10,10
39,Sukaresik,8,8,8,8,8
,Tasikmalaya,351,351,351,351,351
