Kecamatan,Rumah Sakit Umum General Hospital - 2024,Rumah Sakit Umum General Hospital - 2025,Kolom_Kosong,Rumah Sakit Khusus Specialized Hospital - 2024,Rumah Sakit Khusus Specialized Hospital - 2025
satuan,-,-,-,-,-
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,0,0
Karangnunggal,0,0,,0,0
Cikalong,0,0,,0,0
Pancatengah,0,0,,0,0
Cikatomas,1,1,,0,0
Cibalong,0,0,,0,0
Parungponteng,0,0,,0,0
Bantarkalong,0,0,,0,0
Bojongasih,0,0,,0,0
Culamega,0,0,,0,0
Bojonggambir,0,0,,0,0
Sodonghilir,0,0,,0,0
Taraju,0,0,,0,0
Salawu,0,0,,0,0
Puspahiang,0,0,,0,0
Tanjungjaya,0,0,,0,0
Sukaraja,0,0,,0,0
Salopa,0,0,,0,0
Jatiwaras,0,0,,0,0
Cineam,0,0,,0,0
Karangjaya,0,0,,0,0
Manonjaya,0,0,,0,0
Gunungtanjung,0,0,,0,0
Tinewati,1,1,,0,0
Singaparna,0,0,,1,1
Sukarame,0,0,,0,0
Mangunreja,0,0,,0,0
Cigalontang,0,0,,0,0
Leuwisari,0,0,,0,0
Sariwangi,0,0,,0,0
Padakembang,0,0,,0,0
Sukaratu,0,0,,0,0
Cisayong,0,0,,0,0
Sukahening,0,0,,0,0
Rajapolah,0,0,,0,0
Jamanis,0,0,,0,0
Ciawi,0,0,,0,0
Kadipaten,0,0,,0,0
Pagerageung,0,0,,0,0
Sukaresik,0,0,,0,0
Tasikmalaya,2,2,,1,1
